model_num,input_horizontal,input_vertical,step,number_of_layers,FLOPs_G,Total_params_M,Memory_M,total_num_of_neurons_M
78,384,384,8,16,1.86,21.51,36.90738,9.3743
79,384,384,9,16,2.15,20.31,37.482068,9.517972
80,384,384,10,16,2.5,8.79,45.83418,11.606
81,416,416,1,16,4.19,25.95,69.238244,17.482616
82,416,416,2,16,3.8,20.81,65.143836,16.459014
83,416,416,3,16,3.05,15.44,51.719524,13.102936
84,416,416,4,16,2.76,19.65,47.62634,12.07964
85,416,416,5,16,3.91,17.05,68.29942,17.24791
86,416,416,6,16,3.23,15.91,61.639388,15.582902
87,416,416,7,16,2.7,21.95,52.490996,13.295804
88,416,416,8,16,2.91,17.86,49.687172,12.594848
89,416,416,9,16,4.02,24.44,68.61598,17.32705
90,416,416,10,16,4.04,12.49,70.142668,17.708722
91,448,448,1,16,2.78,12.0,52.079828,13.22066
92,448,448,2,16,3.29,19.63,61.896732,15.674886
93,448,448,3,16,4.14,24.3,71.384164,18.046744
94,448,448,4,16,2.99,24.46,61.85414,15.664238
95,448,448,5,16,3.05,23.96,57.65146,14.613568
96,448,448,6,16,3.81,21.73,70.022796,17.706402
97,448,448,7,16,4.59,16.06,79.500884,20.075924
98,448,448,8,16,2.33,20.12,52.45022,13.313258
99,448,448,9,16,4.77,24.22,80.07858,20.220348
100,448,448,10,16,3.01,25.29,54.24786,13.762668
101,480,480,1,16,3.94,37.5,64.786276,16.426968
102,480,480,2,16,5.1,43.67,88.65718,22.394694
103,480,480,3,16,5.49,23.98,92.083636,23.251308
104,480,480,4,16,3.57,22.21,61.752364,15.66849
105,480,480,5,16,5.12,44.53,86.834852,21.939112
106,480,480,6,16,5.74,36.17,94.648108,23.892426
107,480,480,7,16,3.51,38.45,65.669244,16.64771
108,480,480,8,16,5.19,42.78,88.958988,22.470146
109,480,480,9,16,4.14,22.31,72.550532,18.368032
110,480,480,10,16,5.34,16.25,91.607796,23.132348
